sido,sido,sigungu,year,price_median,price_avg,parcels
인천광역시,인천광역시,,2015,115893,411753,625085
인천광역시,인천광역시,,2016,117010,421382,626254
인천광역시,인천광역시,,2017,115262,437857,623690
인천광역시,인천광역시,,2018,119514,455266,629142
인천광역시,인천광역시,,2019,120752,471167,630579
인천광역시,인천광역시,,2020,123612,489287,633804
인천광역시,인천광역시,,2021,131819,531238,637759
인천광역시,인천광역시,,2022,141624,571468,641100
인천광역시,인천광역시,,2023,132258,539367,640126
인천광역시,인천광역시,,2024,129458,534302,643420
인천광역시,인천광역시,,2025,130240,540309,642950
인천광역시,인천광역시,,2026,129940,539927,641823
전라남도,전라남도,,1990,2571,14142,3526483
전라남도,전라남도,,1991,2665,16225,3659350
전라남도,전라남도,,1992,2685,17394,3720562
전라남도,전라남도,,1993,2631,17277,3754333
전라남도,전라남도,,1994,2591,17145,3815737
전라남도,전라남도,,1995,2635,17218,3779649
전라남도,전라남도,,1996,2641,17464,3875600
전라남도,전라남도,,1997,2741,17851,3906651
전라남도,전라남도,,1998,2925,18477,3928819
전라남도,전라남도,,1999,2924,17335,3938618
전라남도,전라남도,,2000,3132,17960,3947878
전라남도,전라남도,,2001,3390,18229,3952385
전라남도,전라남도,,2002,3403,18263,3977718
전라남도,전라남도,,2003,3488,18530,3985458
전라남도,전라남도,,2004,4197,20346,3966863
전라남도,전라남도,,2005,4811,21396,3991459
전라남도,전라남도,,2006,4972,20326,3779491
전라남도,전라남도,,2007,5286,22346,4076930
전라남도,전라남도,,2008,5372,22817,4098389
전라남도,전라남도,,2009,5297,22682,4152771
전라남도,전라남도,,2010,5334,22891,4182106
전라남도,전라남도,,2011,5430,23162,4216652
전라남도,전라남도,,2012,5700,23787,4232165
전라남도,전라남도,,2013,5839,24228,4256903
전라남도,전라남도,,2014,6009,24567,4328014
전라남도,전라남도,,2015,6203,25400,4407572
전라남도,전라남도,,2016,6397,26083,4491516
전라남도,전라남도,,2017,6727,26684,4656941
전라남도,전라남도,,2018,7050,27620,4774679
전라남도,전라남도,,2019,7333,28787,4922428
전라남도,전라남도,,2020,7632,29837,5055321
전라남도,전라남도,,2021,8196,32260,5227316
전라남도,전라남도,,2022,8781,34420,5353515
전라남도,전라남도,,2023,8169,32074,5413921
전라남도,전라남도,,2024,8133,31897,5485679
전라남도,전라남도,,2025,8191,32080,5539948
전라남도,전라남도,,2026,8173,32067,5584736
전라북도,전라북도,,1990,3000,22172,2146171
전라북도,전라북도,,1991,3008,24077,2296041
전라북도,전라북도,,1992,3094,26811,2356926
전라북도,전라북도,,1993,3042,26497,2431932
전라북도,전라북도,,1994,2990,26821,2453327
전라북도,전라북도,,1995,3101,27017,2481281
전라북도,전라북도,,1996,3191,27912,2490394
전라북도,전라북도,,1997,3322,29023,2524013
전라북도,전라북도,,1998,3551,29890,2535268
전라북도,전라북도,,1999,3589,28361,2519620
전라북도,전라북도,,2000,3873,28425,2495088
전라북도,전라북도,,2001,4184,28805,2494339
전라북도,전라북도,,2002,4172,28758,2496800
전라북도,전라북도,,2003,4204,28745,2498236
전라북도,전라북도,,2004,5006,31138,2507178
전라북도,전라북도,,2005,5805,32647,2513774
전라북도,전라북도,,2006,6126,30132,2328074
전라북도,전라북도,,2007,6469,33841,2528413
전라북도,전라북도,,2008,6724,34748,2534577
전라북도,전라북도,,2009,6786,35125,2542715
전라북도,전라북도,,2010,6847,35103,2543903
전라북도,전라북도,,2011,6970,35599,2543639
전라북도,전라북도,,2012,7444,36891,2550097
전라북도,전라북도,,2013,7771,37367,2593487
전라북도,전라북도,,2014,8249,38939,2599817
전라북도,전라북도,,2015,8778,40614,2616949
전라북도,전라북도,,2016,9148,41725,2651190
전라북도,전라북도,,2017,9781,43649,2663782
전라북도,전라북도,,2018,10457,45955,2678522
전라북도,전라북도,,2019,11274,48083,2694471
전라북도,전라북도,,2020,11961,49760,2714658
전라북도,전라북도,,2021,13371,53659,2732839
